datetime;dst;randomized;rssi;idx;seq_num;ch_freq;ssid;occupancy
2024-10-20 17:47:05.116489;30:16:9d:4f:19:a5;1;-58;0;0;10;b'sitovy_divajs';0.0
2024-10-20 17:47:05.119292;b2:7d:64:46:10:72;1;-59;1;1;6;b'NEJD';0.0
2024-10-20 17:47:05.121311;d8:44:89:59:cb:a9;1;-61;2;2;1;b'';0.0
2024-10-20 17:47:05.123418;06:13:34:25:d7:6f;1;-64;3;3;1;b'Vivo V23';0.0
2024-10-20 17:47:05.125508;48:b4:c3:4c:92:c0;1;-70;4;4;1;b'KolejNet';0.0
2024-10-20 17:47:05.127612;48:b4:c3:4c:92:c1;1;-71;5;5;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:05.129713;48:b4:c3:48:d2:a1;1;-73;6;6;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:05.140724;e2:3d:6c:a3:5f:79;1;-73;7;7;1;b'CIA hotspot';0.0
2024-10-20 17:47:05.143079;48:b4:c3:4c:1a:61;1;-73;8;8;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:05.145259;48:b4:c3:4c:1a:60;1;-74;9;9;6;b'KolejNet';0.0
2024-10-20 17:47:05.147449;48:b4:c3:49:bf:e1;1;-78;10;10;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:05.149651;48:b4:c3:48:82:e1;1;-85;11;11;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:05.151855;48:b4:c3:4b:29:61;1;-86;12;12;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:05.162875;48:b4:c3:48:82:e0;1;-86;13;13;11;b'KolejNet';0.0
2024-10-20 17:47:05.165273;48:b4:c3:4b:8b:c0;1;-86;14;14;11;b'KolejNet';0.0
2024-10-20 17:47:05.167467;48:b4:c3:48:76:00;1;-87;15;15;11;b'KolejNet';0.0
2024-10-20 17:47:05.169654;48:b4:c3:48:76:01;1;-87;16;16;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:05.171861;48:b4:c3:4b:8b:c1;1;-87;17;17;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:05.174067;c0:c9:e3:39:0b:78;1;-88;18;18;1;b'Brother';0.0
2024-10-20 17:47:13.006157;b2:7d:64:46:10:72;1;-59;19;19;6;b'NEJD';0.0
2024-10-20 17:47:13.025883;30:16:9d:4f:19:a5;1;-59;20;20;10;b'sitovy_divajs';0.0
2024-10-20 17:47:13.028425;d8:44:89:59:cb:a9;1;-60;21;21;1;b'';0.0
2024-10-20 17:47:13.030521;48:b4:c3:4c:92:c0;1;-71;22;22;1;b'KolejNet';0.0
2024-10-20 17:47:13.032602;48:b4:c3:4c:92:c1;1;-72;23;23;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:13.034718;48:b4:c3:49:bf:e0;1;-74;24;24;6;b'KolejNet';0.0
2024-10-20 17:47:13.036869;48:b4:c3:49:bf:e1;1;-74;25;25;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:13.039071;48:b4:c3:4c:1a:60;1;-75;26;26;6;b'KolejNet';0.0
2024-10-20 17:47:13.050155;48:b4:c3:4c:1a:61;1;-76;27;27;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:13.052582;48:b4:c3:48:82:e1;1;-83;28;28;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:13.054779;48:b4:c3:48:76:01;1;-84;29;29;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:13.056981;48:b4:c3:48:82:e0;1;-84;30;30;11;b'KolejNet';0.0
2024-10-20 17:47:13.059160;48:b4:c3:48:76:00;1;-85;31;31;11;b'KolejNet';0.0
2024-10-20 17:47:13.061351;48:b4:c3:4b:29:60;1;-86;32;32;1;b'KolejNet';0.0
2024-10-20 17:47:13.072314;48:b4:c3:4b:29:61;1;-86;33;33;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:13.074646;48:b4:c3:4b:67:e1;1;-86;34;34;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:13.076809;48:b4:c3:4b:8b:c0;1;-86;35;35;11;b'KolejNet';0.0
2024-10-20 17:47:13.078999;48:b4:c3:4b:8b:c1;1;-86;36;36;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:13.081191;06:13:34:25:d7:6f;1;-87;37;37;1;b'Vivo V23';0.0
2024-10-20 17:47:21.906145;b2:7d:64:46:10:72;1;-60;38;38;6;b'NEJD';0.0
2024-10-20 17:47:21.917445;d8:44:89:59:cb:a9;1;-62;39;39;1;b'';0.0
2024-10-20 17:47:21.928717;30:16:9d:4f:19:a5;1;-62;40;40;10;b'sitovy_divajs';0.0
2024-10-20 17:47:21.931109;48:b4:c3:4c:92:c0;1;-68;41;41;1;b'KolejNet';0.0
2024-10-20 17:47:21.933235;06:13:34:25:d7:6f;1;-69;42;42;1;b'Vivo V23';0.0
2024-10-20 17:47:21.935339;48:b4:c3:4c:92:c1;1;-69;43;43;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:21.937449;e2:3d:6c:a3:5f:79;1;-73;44;44;1;b'CIA hotspot';0.0
2024-10-20 17:47:21.939563;48:b4:c3:4c:1a:60;1;-74;45;45;6;b'KolejNet';0.0
2024-10-20 17:47:21.941725;48:b4:c3:4c:1a:61;1;-74;46;46;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:21.952809;48:b4:c3:49:bf:e1;1;-83;47;47;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:21.955246;48:b4:c3:4b:29:60;1;-84;48;48;1;b'KolejNet';0.0
2024-10-20 17:47:21.957379;48:b4:c3:49:bf:e0;1;-84;49;49;6;b'KolejNet';0.0
2024-10-20 17:47:21.959537;48:b4:c3:48:82:e0;1;-84;50;50;11;b'KolejNet';0.0
2024-10-20 17:47:21.961731;48:b4:c3:48:82:e1;1;-84;51;51;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:21.963933;48:b4:c3:4b:29:61;1;-85;52;52;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:21.974940;48:b4:c3:48:76:01;1;-87;53;53;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:21.977328;48:b4:c3:4b:8b:c1;1;-87;54;54;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:21.979535;48:b4:c3:48:76:00;1;-88;55;55;11;b'KolejNet';0.0
2024-10-20 17:47:21.981722;48:b4:c3:4b:8b:c0;1;-88;56;56;11;b'KolejNet';0.0
2024-10-20 17:47:21.983919;c0:c9:e3:39:0b:78;1;-89;57;57;1;b'Brother';0.0
2024-10-20 17:47:29.816000;b2:7d:64:46:10:72;1;-59;58;58;6;b'NEJD';0.0
2024-10-20 17:47:29.827208;30:16:9d:4f:19:a5;1;-61;59;59;10;b'sitovy_divajs';0.0
2024-10-20 17:47:29.838592;d8:44:89:59:cb:a9;1;-64;60;60;1;b'';0.0
2024-10-20 17:47:29.840912;48:b4:c3:4c:92:c0;1;-70;61;61;1;b'KolejNet';0.0
2024-10-20 17:47:29.842997;06:13:34:25:d7:6f;1;-74;62;62;1;b'Vivo V23';0.0
2024-10-20 17:47:29.845109;48:b4:c3:48:d2:a1;1;-74;63;63;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:29.847210;48:b4:c3:4c:1a:60;1;-74;64;64;6;b'KolejNet';0.0
2024-10-20 17:47:29.849380;48:b4:c3:4c:1a:61;1;-74;65;65;6;b'KolejNet-2.4G';0.0
2024-10-20 17:47:29.851571;e2:3d:6c:a3:5f:79;1;-76;66;66;1;b'CIA hotspot';0.0
2024-10-20 17:47:29.862625;48:b4:c3:48:82:e0;1;-84;67;67;11;b'KolejNet';0.0
2024-10-20 17:47:29.865002;48:b4:c3:48:82:e1;1;-84;68;68;11;b'KolejNet-2.4G';0.0
2024-10-20 17:47:29.867213;48:b4:c3:4b:29:60;1;-86;69;69;1;b'KolejNet';0.0
2024-10-20 17:47:29.869330;48:b4:c3:48:76:00;1;-86;70;70;11;b'KolejNet';0.0
2024-10-20 17:47:29.871501;48:b4:c3:4b:29:61;1;-87;71;71;1;b'KolejNet-2.4G';0.0
2024-10-20 17:47:29.873625;c0:c9:e3:39:0b:78;1;-91;72;72;1;b'Brother';0.0
2024-10-20 17:47:29.886381;4a:9e:bd:5a:78:51;1;-92;73;73;6;b'DIRECT-51-HP OfficeJet Pro 7740';0.0
2024-10-20 17:47:36.716162;b2:7d:64:46:10:72;1;-60;74;74;6;b'NEJD';0.0
2024-10-20 17:47:36.727429;30:16:9d:4f:19:a5;1;-61;75;75;10;b'sitovy_divajs';0.0
