Stop Name,Arrival Time
Vozovna Pisárky,05:08:00
ARENA BRNO,05:09:00
Výstaviště - vstup G2,05:10:00
Výstaviště - hlavní vstup,05:11:00
Mendlovo náměstí,05:13:00
Václavská,05:15:00
Hybešova,05:16:00
Nové sady,05:19:00
BREAK,BREAK
Hlavní nádraží,05:21:00
Vlhká,05:22:00
Masná,05:23:00
Životského,05:25:00
Geislerova,05:26:00
Buzkova,05:27:00
Otakara Ševčíka,05:28:00
Dělnický dům,05:30:00
Juliánov - výstup,05:32:00
BREAK,BREAK
Juliánov - nástup,05:45:00
Dělnický dům,05:46:00
Otakara Ševčíka,05:47:00
Buzkova,05:48:00
Geislerova,05:49:00
Životského,05:51:00
Masná,05:53:00
Vlhká,05:54:00
Hlavní nádraží,05:57:00
Zelný trh,05:58:00
Náměstí Svobody,06:00:00
Česká,06:02:00
Moravské náměstí,06:03:00
Náměstí 28. října,06:04:00
Dětská nemocnice,06:05:00
Jugoslávská,06:07:00
Tomanova,06:08:00
Zemědělská,06:09:00
Lesnická,06:10:00
Bieblova,06:11:00
Fügnerova,06:12:00
Halasovo náměstí,06:13:00
Čertova rokle - výstup,06:15:00
BREAK,BREAK
Čertova rokle - nástup,06:27:00
Halasovo náměstí,06:28:00
Fügnerova,06:29:00
Bieblova,06:30:00
Lesnická,06:31:00
Zemědělská,06:32:00
Tomanova,06:33:00
Jugoslávská,06:34:00
Dětská nemocnice,06:36:00
Náměstí 28. října,06:37:00
Moravské náměstí,06:39:00
Česká,06:41:00
Náměstí Svobody,06:42:00
Zelný trh,06:44:00
Hlavní nádraží,06:46:00
Vlhká,06:47:00
Masná,06:49:00
Životského,06:51:00
Geislerova,06:52:00
Buzkova,06:53:00
Otakara Ševčíka,06:54:00
Dělnický dům,06:56:00
Juliánov - výstup,06:58:00
BREAK,BREAK
Juliánov - nástup,11:39:00
Dělnický dům,11:40:00
Otakara Ševčíka,11:41:00
Buzkova,11:42:00
Geislerova,11:43:00
Životského,11:45:00
Masná,11:47:00
Vlhká,11:48:00
Hlavní nádraží,11:51:00
Zelný trh,11:52:00
Náměstí Svobody,11:54:00
Česká,11:56:00
Moravské náměstí,11:57:00
Náměstí 28. října,11:58:00
Dětská nemocnice,12:00:00
Jugoslávská,12:02:00
Tomanova,12:03:00
Zemědělská,12:04:00
Lesnická,12:05:00
Bieblova,12:06:00
Fügnerova,12:07:00
Halasovo náměstí,12:08:00
Čertova rokle - výstup,12:10:00
BREAK,BREAK
Čertova rokle - nástup,12:27:00
Halasovo náměstí,12:28:00
Fügnerova,12:29:00
Bieblova,12:30:00
Lesnická,12:31:00
Zemědělská,12:32:00
Tomanova,12:33:00
Jugoslávská,12:34:00
Dětská nemocnice,12:36:00
Náměstí 28. října,12:37:00
Moravské náměstí,12:39:00
Česká,12:41:00
Náměstí Svobody,12:42:00
Zelný trh,12:44:00
Hlavní nádraží,12:46:00
Vlhká,12:47:00
Masná,12:49:00
Životského,12:51:00
Geislerova,12:52:00
Buzkova,12:53:00
Otakara Ševčíka,12:54:00
Dělnický dům,12:56:00
Juliánov - výstup,12:58:00
BREAK,BREAK
Juliánov - nástup,13:12:00
Dělnický dům,13:13:00
Otakara Ševčíka,13:14:00
Buzkova,13:15:00
Geislerova,13:16:00
Životského,13:18:00
Masná,13:20:00
Vlhká,13:21:00
Hlavní nádraží,13:24:00
Zelný trh,13:25:00
Náměstí Svobody,13:27:00
Česká,13:29:00
Moravské náměstí,13:30:00
Náměstí 28. října,13:31:00
Dětská nemocnice,13:33:00
Jugoslávská,13:35:00
Tomanova,13:36:00
Zemědělská,13:37:00
Lesnická,13:38:00
Bieblova,13:39:00
Fügnerova,13:40:00
Halasovo náměstí,13:41:00
Čertova rokle - výstup,13:43:00
