Stop Name,Arrival Time
Vozovna Pisárky,04:35:00
ARENA BRNO,04:36:00
Výstaviště - vstup G2,04:37:00
Výstaviště - hlavní vstup,04:38:00
Mendlovo náměstí,04:40:00
Václavská,04:42:00
Hybešova,04:43:00
Nové sady,04:46:00
BREAK,BREAK
Hlavní nádraží,04:48:00
Malinovského náměstí,04:50:00
Körnerova,04:52:00
Tkalcovská,04:54:00
Trávníčkova,04:56:00
Mostecká,04:57:00
Vozovna Husovice,04:58:00
Náměstí Republiky,04:59:00
Tomkovo náměstí,05:01:00
Maloměřický most,05:02:00
Proškovo náměstí,05:03:00
Obřanská - u školy,05:04:00
Čtvery hony,05:05:00
Obřanský most,05:06:00
"Obřany, Babická - výstup",05:08:00
BREAK,BREAK
"Obřany, Babická - nástup",05:22:00
Obřanský most,05:22:00
Čtvery hony,05:23:00
Obřanská - u školy,05:24:00
Proškovo náměstí,05:25:00
Maloměřický most,05:26:00
Tomkovo náměstí,05:28:00
Náměstí Republiky,05:29:00
Vozovna Husovice,05:30:00
Mostecká,05:32:00
Trávníčkova,05:33:00
Tkalcovská,05:35:00
Körnerova,05:36:00
Malinovského náměstí,05:39:00
Česká - výstup,05:42:00
BREAK,BREAK
Česká - nástup,05:43:00
Náměstí Svobody,05:44:00
Zelný trh,05:46:00
Hlavní nádraží,05:48:00
Malinovského náměstí,05:50:00
Körnerova,05:52:00
Tkalcovská,05:54:00
Trávníčkova,05:56:00
Mostecká,05:57:00
Vozovna Husovice,05:58:00
Náměstí Republiky,05:59:00
Tomkovo náměstí,06:01:00
Maloměřický most,06:02:00
Proškovo náměstí,06:03:00
Obřanská - u školy,06:04:00
Čtvery hony,06:05:00
Obřanský most,06:06:00
"Obřany, Babická - výstup",06:08:00
BREAK,BREAK
"Obřany, Babická - nástup",06:33:00
Obřanský most,06:33:00
Čtvery hony,06:34:00
Obřanská - u školy,06:35:00
Proškovo náměstí,06:36:00
Maloměřický most,06:37:00
Tomkovo náměstí,06:39:00
Náměstí Republiky,06:40:00
Vozovna Husovice,06:41:00
Mostecká,06:43:00
Trávníčkova,06:44:00
Tkalcovská,06:47:00
Körnerova,06:49:00
Malinovského náměstí,06:52:00
Česká - výstup,06:55:00
BREAK,BREAK
Česká - nástup,06:55:00
Náměstí Svobody,06:56:00
Zelný trh,06:58:00
Hlavní nádraží,07:00:00
Malinovského náměstí,07:02:00
Körnerova,07:04:00
Tkalcovská,07:06:00
Trávníčkova,07:08:00
Mostecká,07:09:00
Vozovna Husovice,07:10:00
Náměstí Republiky,07:11:00
Tomkovo náměstí,07:13:00
Maloměřický most,07:14:00
Proškovo náměstí,07:15:00
Obřanská - u školy,07:16:00
Čtvery hony,07:17:00
Obřanský most,07:18:00
"Obřany, Babická - výstup",07:20:00
BREAK,BREAK
"Obřany, Babická - nástup",07:28:00
Obřanský most,07:28:00
Čtvery hony,07:29:00
Obřanská - u školy,07:30:00
Proškovo náměstí,07:31:00
Maloměřický most,07:32:00
Tomkovo náměstí,07:34:00
Náměstí Republiky,07:35:00
Vozovna Husovice,07:36:00
Mostecká,07:38:00
Trávníčkova,07:39:00
Tkalcovská,07:42:00
Körnerova,07:44:00
Malinovského náměstí,07:47:00
Česká - výstup,07:50:00
BREAK,BREAK
Česká - nástup,07:51:00
Náměstí Svobody,07:52:00
Zelný trh,07:54:00
Hlavní nádraží,07:55:00
Malinovského náměstí,07:57:00
Körnerova,07:59:00
Tkalcovská,08:01:00
Trávníčkova,08:03:00
Mostecká,08:04:00
Vozovna Husovice,08:05:00
Náměstí Republiky,08:06:00
Tomkovo náměstí,08:08:00
Maloměřický most - výstup,08:10:00
BREAK,BREAK
Maloměřický most - nástup,08:17:00
Tomkovo náměstí,08:19:00
Náměstí Republiky,08:20:00
Vozovna Husovice,08:21:00
Mostecká,08:23:00
Trávníčkova,08:24:00
Tkalcovská,08:27:00
Körnerova,08:29:00
Malinovského náměstí,08:32:00
Česká - výstup,08:35:00
BREAK,BREAK
Česká - nástup,08:35:00
Náměstí Svobody,08:36:00
Zelný trh,08:38:00
Hlavní nádraží,08:40:00
Malinovského náměstí,08:42:00
Körnerova,08:44:00
Tkalcovská,08:46:00
Trávníčkova,08:48:00
Mostecká,08:49:00
Vozovna Husovice,08:50:00
Náměstí Republiky,08:51:00
Tomkovo náměstí,08:53:00
Maloměřický most,08:54:00
Proškovo náměstí,08:55:00
Obřanská - u školy,08:56:00
Čtvery hony,08:57:00
Obřanský most,08:58:00
"Obřany, Babická - výstup",09:00:00
BREAK,BREAK
"Obřany, Babická - nástup",09:21:00
Obřanský most,09:21:00
Čtvery hony,09:22:00
Obřanská - u školy,09:23:00
Proškovo náměstí,09:24:00
Maloměřický most,09:25:00
Tomkovo náměstí,09:27:00
Náměstí Republiky,09:28:00
Vozovna Husovice,09:29:00
